frequency_hz,quantity,id,re,im
5.62341325E+03,voltage,Rod_2_n4,2.07149125E+01,-2.51206173E-01
5.62341325E+03,voltage,Rod_2_n5,2.07148091E+01,-2.61247805E-01
5.62341325E+03,voltage,Rod_1_n1,2.07184695E+01,2.69176970E-01
5.62341325E+03,voltage,Rod_1_n2,2.07179190E+01,1.84057771E-01
5.62341325E+03,voltage,Rod_1_n3,2.07173677E+01,9.64471213E-02
5.62341325E+03,voltage,Rod_1_n4,2.07168155E+01,7.49112835E-03
5.62341325E+03,voltage,Rod_1_n5,2.07162625E+01,-8.22147658E-02
7.49894209E+03,voltage,Node_1,2.06833939E+01,5.03684085E-01
7.49894209E+03,voltage,Node_2,2.06795310E+01,-1.87774743E-01
7.49894209E+03,voltage,Node_3,2.06783700E+01,-3.12595542E-01
7.49894209E+03,voltage,Rod_2_n1,2.06792790E+01,-2.16206058E-01
7.49894209E+03,voltage,Rod_2_n2,2.06790059E+01,-2.46818303E-01
7.49894209E+03,voltage,Rod_2_n3,2.06787638E+01,-2.72872211E-01
7.49894209E+03,voltage,Rod_2_n4,2.06785690E+01,-2.92929747E-01
7.49894209E+03,voltage,Rod_2_n5,2.06784334E+01,-3.06306699E-01
7.49894209E+03,voltage,Rod_1_n1,2.06827544E+01,4.00438447E-01
7.49894209E+03,voltage,Rod_1_n2,2.06821127E+01,2.87021278E-01
7.49894209E+03,voltage,Rod_1_n3,2.06814694E+01,1.70281695E-01
7.49894209E+03,voltage,Rod_1_n4,2.06808247E+01,5.17480621E-02
7.49894209E+03,voltage,Rod_1_n5,2.06801786E+01,-6.77855826E-02
1.00000000E+04,voltage,Node_1,2.06423881E+01,7.19456215E-01
1.00000000E+04,voltage,Node_2,2.06378379E+01,-2.01987344E-01
1.00000000E+04,voltage,Node_3,2.06363673E+01,-3.68280334E-01
1.00000000E+04,voltage,Rod_2_n1,2.06375560E+01,-2.39862849E-01
1.00000000E+04,voltage,Rod_2_n2,2.06372168E+01,-2.80645585E-01
1.00000000E+04,voltage,Rod_2_n3,2.06369038E+01,-3.15356605E-01
1.00000000E+04,voltage,Rod_2_n4,2.06366445E+01,-3.42079085E-01
1.00000000E+04,voltage,Rod_2_n5,2.06364591E+01,-3.59901108E-01
1.00000000E+04,voltage,Rod_1_n1,2.06416374E+01,5.81881271E-01
1.00000000E+04,voltage,Rod_1_n2,2.06408827E+01,4.30742337E-01
1.00000000E+04,voltage,Rod_1_n3,2.06401254E+01,2.75172867E-01
1.00000000E+04,voltage,Rod_1_n4,2.06393654E+01,1.17210973E-01
1.00000000E+04,voltage,Rod_1_n5,2.06386029E+01,-4.20844657E-02
1.33352143E+04,voltage,Node_1,2.05952607E+01,1.01456108E+00
1.33352143E+04,voltage,Node_2,2.05898302E+01,-2.13474394E-01
1.33352143E+04,voltage,Node_3,2.05878938E+01,-4.35048084E-01
1.33352143E+04,voltage,Rod_2_n1,2.05895151E+01,-2.63941907E-01
1.33352143E+04,voltage,Rod_2_n2,2.05890795E+01,-3.18281336E-01
1.33352143E+04,voltage,Rod_2_n3,2.05886579E+01,-3.64531383E-01
1.33352143E+04,voltage,Rod_2_n4,2.05882973E+01,-4.00137172E-01
1.33352143E+04,voltage,Rod_2_n5,2.05880324E+01,-4.23883355E-01
1.33352143E+04,voltage,Rod_1_n1,2.05943692E+01,8.31223641E-01
1.33352143E+04,voltage,Rod_1_n2,2.05934707E+01,6.29798242E-01
1.33352143E+04,voltage,Rod_1_n3,2.05925674E+01,4.22464558E-01
1.33352143E+04,voltage,Rod_1_n4,2.05916596E+01,2.11940479E-01
1.33352143E+04,voltage,Rod_1_n5,2.05907471E+01,-3.61938518E-04
1.77827941E+04,voltage,Node_1,2.05412222E+01,1.41658393E+00
1.77827941E+04,voltage,Node_2,2.05346216E+01,-2.20186787E-01
1.77827941E+04,voltage,Node_3,2.05319534E+01,-5.15451315E-01
1.77827941E+04,voltage,Rod_2_n1,2.05342678E+01,-2.87445808E-01
1.77827941E+04,voltage,Rod_2_n2,2.05336852E+01,-3.59856654E-01
1.77827941E+04,voltage,Rod_2_n3,2.05330908E+01,-4.21487628E-01
1.77827941E+04,voltage,Rod_2_n4,2.05325656E+01,-4.68933677E-01
1.77827941E+04,voltage,Rod_2_n5,2.05321701E+01,-5.00575177E-01
1.77827941E+04,voltage,Rod_1_n1,2.05401462E+01,1.17224007E+00
1.77827941E+04,voltage,Rod_1_n2,2.05390578E+01,9.03775307E-01
